Age,Salary,Department,Experience,Satisfaction,Gender
65.0,,Sales,8.0,3,Male
32.0,127088.0,Engineering,7.0,5,Male
25.0,31014.0,HR,,4,Female
,40103.0,Marketing,12.0,1,Male
40.0,112522.0,Engineering,21.0,4,Male
57.0,140317.0,Engineering,14.0,5,Female
38.0,126007.0,Marketing,16.0,4,Female
33.0,63458.0,Marketing,11.0,1,Female
62.0,120605.0,HR,20.0,5,Male
35.0,,Sales,,5,Female
64.0,53248.0,Engineering,,4,Female
41.0,119160.0,Sales,17.0,5,Male
43.0,73516.0,Engineering,12.0,4,Female
42.0,59061.0,HR,6.0,3,Male
,54170.0,Marketing,19.0,5,Male
58.0,38024.0,HR,11.0,4,Male
,112214.0,Marketing,9.0,3,Male
32.0,133792.0,Sales,21.0,5,Male
62.0,115947.0,Sales,29.0,3,Female
,,HR,6.0,5,Male
42.0,49296.0,Marketing,27.0,1,Female
24.0,121829.0,HR,25.0,1,Male
,122708.0,Marketing,25.0,4,Female
41.0,116664.0,Marketing,24.0,2,Male
18.0,48257.0,Sales,25.0,1,Male
61.0,42855.0,Sales,16.0,2,Male
25.0,115178.0,Marketing,20.0,3,Female
41.0,131121.0,Marketing,,3,Female
28.0,50025.0,Marketing,6.0,2,Female
68.0,,Sales,5.0,4,Male
,93610.0,Sales,21.0,5,Male
25.0,100843.0,Engineering,,2,Female
52.0,,Marketing,2.0,2,Male
52.0,,Engineering,28.0,2,Female
50.0,,Marketing,6.0,2,Male
22.0,73427.0,Sales,9.0,2,Female
,123809.0,Engineering,28.0,4,Female
,,Engineering,17.0,1,Male
58.0,35668.0,HR,14.0,5,Female
45.0,121470.0,Marketing,7.0,1,Male
24.0,,Sales,,2,Male
26.0,103233.0,HR,,1,Male
25.0,54417.0,HR,1.0,4,Female
29.0,111982.0,Marketing,,3,Female
51.0,136133.0,HR,,1,Female
50.0,40751.0,Marketing,25.0,5,Male
65.0,76218.0,HR,15.0,4,Male
40.0,,Marketing,18.0,3,Female
,109052.0,Sales,3.0,4,Male
54.0,,Marketing,18.0,2,Male
52.0,127493.0,Marketing,2.0,3,Female
61.0,58927.0,Engineering,,5,Female
57.0,71094.0,Sales,11.0,3,Male
39.0,,Sales,27.0,5,Male
44.0,84122.0,Sales,24.0,2,Female
52.0,59493.0,HR,3.0,5,Female
18.0,,Engineering,7.0,4,Male
52.0,,Sales,8.0,1,Male
54.0,61707.0,HR,19.0,4,Male
64.0,,HR,18.0,4,Female
31.0,37296.0,HR,13.0,3,Male
,55398.0,Engineering,13.0,2,Male
18.0,65842.0,HR,24.0,1,Male
22.0,43261.0,Engineering,19.0,5,Male
43.0,106709.0,Marketing,23.0,3,Male
31.0,125985.0,HR,,2,Male
56.0,136616.0,Sales,17.0,1,Female
44.0,,HR,28.0,4,Female
26.0,97173.0,Marketing,22.0,2,Female
32.0,61781.0,Marketing,12.0,2,Male
32.0,43652.0,HR,28.0,2,Female
43.0,35103.0,Marketing,13.0,4,Male
,55500.0,Engineering,25.0,5,Male
,145332.0,Engineering,12.0,3,Male
68.0,,HR,19.0,5,Male
,65529.0,Engineering,14.0,1,Male
,,Engineering,7.0,3,Female
66.0,48452.0,Sales,13.0,1,Female
69.0,79393.0,HR,6.0,4,Female
49.0,61174.0,Marketing,,5,Male
,94450.0,HR,19.0,2,Female
,65436.0,Engineering,19.0,3,Male
54.0,77406.0,Sales,4.0,2,Female
40.0,93059.0,HR,19.0,1,Female
56.0,45954.0,HR,9.0,2,Female
62.0,112722.0,Engineering,16.0,2,Female
32.0,149747.0,Engineering,27.0,4,Female
60.0,42356.0,HR,,4,Female
46.0,128499.0,Engineering,6.0,5,Male
,,Engineering,8.0,1,Male
30.0,107243.0,Engineering,27.0,4,Male
,,Engineering,29.0,4,Male
24.0,122471.0,Engineering,24.0,5,Male
68.0,51225.0,Sales,16.0,3,Female
39.0,33606.0,Engineering,5.0,5,Male
45.0,87620.0,Marketing,21.0,2,Male
19.0,62828.0,HR,22.0,2,Male
59.0,56489.0,Sales,10.0,4,Male
,,Sales,23.0,4,Male
23.0,99463.0,Engineering,,5,Male
45.0,101832.0,HR,29.0,5,Male
,,Marketing,,1,Male
,141926.0,Engineering,14.0,2,Male
61.0,142429.0,HR,7.0,5,Female
37.0,,Engineering,29.0,3,Male
,140431.0,Engineering,,1,Male
28.0,78516.0,Engineering,6.0,5,Female
45.0,121683.0,Engineering,7.0,4,Female
42.0,92061.0,Engineering,5.0,5,Male
,134425.0,Engineering,,4,Male
,96736.0,Engineering,18.0,4,Male
,111257.0,Marketing,23.0,2,Female
44.0,91753.0,Sales,12.0,2,Male
69.0,114774.0,Marketing,6.0,5,Female
30.0,,Engineering,27.0,5,Female
58.0,60816.0,Engineering,1.0,3,Female
20.0,53408.0,Marketing,,1,Female
56.0,135276.0,Marketing,19.0,1,Female
23.0,,Sales,12.0,5,Male
25.0,47413.0,Marketing,15.0,2,Male
44.0,,Sales,3.0,3,Female
26.0,89500.0,Engineering,,1,Female
54.0,114514.0,HR,27.0,5,Female
50.0,,HR,,2,Female
68.0,96197.0,HR,26.0,2,Male
59.0,130776.0,HR,20.0,2,Female
61.0,122789.0,Engineering,28.0,4,Female
,,HR,8.0,2,Male
,62854.0,Marketing,11.0,5,Male
49.0,106240.0,Marketing,16.0,3,Male
49.0,134523.0,HR,9.0,5,Male
41.0,120063.0,Marketing,3.0,2,Female
,46322.0,Sales,5.0,3,Female
69.0,,Engineering,20.0,1,Female
,36968.0,HR,,1,Female
,57518.0,HR,,5,Female
69.0,81925.0,Engineering,,3,Female
29.0,89848.0,Marketing,,5,Female
56.0,141900.0,Engineering,,3,Female
19.0,,Engineering,,3,Female
,31700.0,Marketing,26.0,5,Male
,123782.0,Engineering,4.0,3,Female
54.0,131004.0,Marketing,8.0,2,Male
,53199.0,Marketing,19.0,3,Male
34.0,74589.0,Engineering,27.0,3,Male
66.0,62115.0,Sales,5.0,5,Male
19.0,91934.0,Marketing,,1,Female
19.0,,Engineering,16.0,4,Male
45.0,84316.0,Marketing,1.0,3,Male
40.0,35520.0,Sales,13.0,4,Female
54.0,139814.0,Sales,22.0,3,Male
49.0,66455.0,HR,11.0,5,Female
50.0,145284.0,Marketing,21.0,5,Female
,116465.0,Marketing,,3,Female
36.0,71605.0,Engineering,25.0,5,Female
19.0,,Marketing,8.0,5,Male
61.0,74049.0,HR,24.0,3,Female
,43917.0,Sales,28.0,1,Male
49.0,100293.0,Sales,14.0,3,Male
23.0,,HR,13.0,1,Female
49.0,149072.0,Marketing,3.0,5,Male
,94925.0,Marketing,4.0,1,Female
28.0,137216.0,HR,27.0,5,Male
34.0,100269.0,Engineering,20.0,1,Male
55.0,60954.0,Sales,15.0,1,Male
41.0,,HR,15.0,3,Male
22.0,102617.0,HR,27.0,1,Female
69.0,,Marketing,21.0,5,Female
,119037.0,Sales,13.0,3,Male
,,Marketing,9.0,1,Male
39.0,129977.0,HR,,3,Male
28.0,142622.0,Engineering,,4,Male
65.0,120226.0,Sales,10.0,3,Female
33.0,73939.0,HR,29.0,4,Male
50.0,59345.0,HR,12.0,4,Male
26.0,76313.0,Engineering,,3,Male
,140107.0,HR,1.0,5,Female
33.0,122365.0,HR,,5,Male
46.0,130598.0,Sales,14.0,5,Female
20.0,,Sales,8.0,2,Female
37.0,77861.0,Sales,,4,Male
53.0,,Marketing,14.0,3,Male
36.0,79298.0,Engineering,,5,Male
43.0,77221.0,Sales,16.0,5,Female
,74942.0,Marketing,18.0,3,Female
,33453.0,Marketing,,4,Male
37.0,132811.0,Engineering,15.0,3,Female
49.0,84935.0,Engineering,24.0,2,Male
24.0,73370.0,HR,17.0,2,Male
69.0,133932.0,Marketing,,3,Male
,38328.0,Sales,23.0,4,Male
50.0,,Engineering,13.0,5,Male
57.0,115280.0,Marketing,9.0,2,Male
56.0,,Sales,24.0,2,Female
,66320.0,Marketing,24.0,4,Female
57.0,79170.0,Engineering,15.0,2,Female
18.0,130546.0,HR,25.0,2,Male
,,Marketing,26.0,4,Male
45.0,133401.0,Sales,3.0,3,Male
42.0,,Engineering,,5,Female
67.0,130252.0,HR,1.0,5,Male
40.0,121057.0,Sales,16.0,2,Female
48.0,60049.0,Sales,8.0,5,Male
47.0,,Sales,29.0,3,Female
,132540.0,Marketing,23.0,2,Male
52.0,86053.0,Engineering,13.0,5,Male
24.0,31920.0,Sales,,1,Female
33.0,,Marketing,17.0,1,Female
43.0,99724.0,Engineering,22.0,1,Female
65.0,42207.0,Engineering,23.0,1,Male
69.0,95774.0,Marketing,14.0,1,Female
66.0,62972.0,Marketing,27.0,2,Female
19.0,40799.0,Sales,21.0,4,Male
18.0,101088.0,Engineering,21.0,4,Male
65.0,58916.0,HR,7.0,2,Female
,100463.0,Marketing,27.0,2,Male
22.0,123500.0,Engineering,15.0,3,Female
54.0,106700.0,Engineering,16.0,4,Female
49.0,67158.0,Sales,19.0,1,Female
26.0,114607.0,HR,6.0,2,Male
58.0,149639.0,Sales,,1,Female
52.0,143945.0,HR,1.0,4,Female
,101696.0,HR,12.0,5,Male
65.0,,Marketing,18.0,5,Female
33.0,88692.0,Engineering,16.0,2,Female
20.0,91744.0,Engineering,12.0,3,Female
,,Engineering,20.0,1,Male
41.0,,HR,13.0,2,Female
50.0,60009.0,Engineering,8.0,3,Male
41.0,,Marketing,,1,Male
69.0,141718.0,HR,29.0,4,Female
28.0,120932.0,HR,26.0,5,Female
66.0,,HR,22.0,3,Male
25.0,146464.0,HR,1.0,1,Female
,,Marketing,26.0,2,Female
55.0,42816.0,Engineering,21.0,1,Male
57.0,69082.0,Marketing,7.0,2,Female
37.0,95048.0,Engineering,15.0,5,Female
52.0,,Marketing,29.0,5,Male
65.0,62130.0,Sales,22.0,1,Female
42.0,70142.0,Sales,13.0,1,Male
52.0,66468.0,Sales,,2,Male
42.0,,Sales,28.0,2,Female
46.0,,HR,,3,Male
35.0,,HR,24.0,3,Female
63.0,60075.0,Marketing,15.0,3,Female
35.0,39359.0,Marketing,4.0,1,Male
,,Sales,13.0,3,Male
52.0,135115.0,Engineering,27.0,1,Male
,72056.0,Sales,12.0,5,Male
58.0,81831.0,Marketing,5.0,4,Male
53.0,89191.0,Sales,,5,Male
50.0,148592.0,Marketing,8.0,1,Female
21.0,63272.0,Sales,5.0,1,Female
50.0,138117.0,Engineering,9.0,4,Male
31.0,44671.0,Sales,14.0,2,Female
38.0,57048.0,Engineering,26.0,2,Male
65.0,,Engineering,,2,Male
37.0,55963.0,Marketing,4.0,3,Female
25.0,,Engineering,20.0,2,Female
24.0,102309.0,HR,29.0,3,Male
20.0,132120.0,HR,8.0,3,Male
34.0,,HR,17.0,2,Male
50.0,30717.0,Marketing,8.0,2,Female
65.0,41676.0,HR,,4,Male
,34434.0,Marketing,29.0,4,Male
68.0,,Marketing,27.0,3,Female
39.0,133361.0,HR,1.0,4,Female
39.0,148696.0,Engineering,,3,Female
63.0,124636.0,Sales,,1,Male
47.0,34994.0,Marketing,4.0,3,Male
,34234.0,HR,24.0,3,Female
55.0,99300.0,Marketing,21.0,4,Male
62.0,73949.0,Engineering,1.0,1,Male
68.0,67405.0,Engineering,7.0,5,Female
25.0,64872.0,HR,1.0,5,Female
44.0,,Marketing,9.0,5,Male
,53185.0,Sales,,1,Female
51.0,,Sales,12.0,2,Female
38.0,81759.0,Marketing,19.0,1,Male
47.0,71153.0,Marketing,15.0,4,Male
50.0,107535.0,Marketing,22.0,3,Male
45.0,132023.0,HR,16.0,3,Male
64.0,32581.0,Engineering,10.0,4,Male
50.0,81717.0,Sales,22.0,4,Male
22.0,32763.0,HR,29.0,3,Female
65.0,122910.0,Marketing,27.0,2,Female
36.0,85480.0,Marketing,27.0,2,Female
21.0,68759.0,Engineering,6.0,2,Male
52.0,106067.0,Marketing,,4,Male
66.0,148094.0,HR,17.0,3,Male
34.0,55307.0,HR,,3,Male
,,Engineering,28.0,3,Male
45.0,41064.0,HR,22.0,1,Female
47.0,106848.0,Sales,24.0,1,Male
46.0,,HR,29.0,5,Female
63.0,,HR,17.0,1,Male
23.0,77937.0,HR,21.0,2,Female
52.0,36476.0,Sales,19.0,2,Female
58.0,81756.0,Marketing,18.0,2,Female
54.0,120101.0,HR,11.0,2,Female
41.0,32382.0,Engineering,,5,Female
46.0,79683.0,Sales,,2,Female
66.0,117999.0,Engineering,10.0,4,Female
63.0,75276.0,HR,7.0,4,Male
48.0,63402.0,Engineering,5.0,4,Male
52.0,121881.0,HR,,1,Female
,,Sales,,3,Male
69.0,56946.0,Engineering,29.0,5,Male
38.0,109698.0,Engineering,25.0,4,Female
49.0,144690.0,HR,21.0,4,Male
40.0,142309.0,HR,18.0,2,Female
50.0,103933.0,Marketing,3.0,4,Male
,52335.0,HR,,2,Female
35.0,,HR,15.0,2,Male
42.0,109930.0,Marketing,5.0,3,Female
59.0,,HR,13.0,1,Male
48.0,52010.0,HR,19.0,2,Male
20.0,,Marketing,12.0,2,Male
57.0,117923.0,Sales,23.0,3,Female
63.0,32890.0,Sales,,2,Female
41.0,123305.0,HR,5.0,5,Male
67.0,139162.0,HR,,1,Male
,38026.0,Marketing,7.0,5,Female
64.0,94925.0,Marketing,26.0,4,Male
39.0,98842.0,Sales,,1,Male
,63665.0,Engineering,16.0,4,Female
19.0,39277.0,HR,8.0,2,Female
,,Engineering,9.0,3,Male
59.0,77664.0,Engineering,27.0,5,Female
19.0,78008.0,Marketing,4.0,4,Male
43.0,44683.0,HR,21.0,2,Male
34.0,30670.0,HR,,5,Female
57.0,,Marketing,8.0,5,Male
50.0,,Engineering,25.0,4,Female
26.0,85612.0,Marketing,,2,Female
60.0,74535.0,Sales,15.0,3,Male
65.0,108542.0,HR,21.0,4,Female
56.0,84319.0,Sales,,5,Male
46.0,,Marketing,17.0,5,Female
59.0,,HR,,1,Male
,51639.0,Sales,9.0,2,Female
52.0,94712.0,Sales,,1,Male
67.0,46633.0,Engineering,25.0,3,Male
,,HR,10.0,4,Female
41.0,98975.0,Sales,15.0,5,Male
,,Sales,,2,Male
24.0,89197.0,Engineering,29.0,5,Male
,131158.0,Sales,14.0,1,Male
62.0,88847.0,Sales,4.0,1,Male
,41577.0,Sales,21.0,4,Male
,107299.0,Engineering,20.0,2,Female
,50176.0,Sales,2.0,2,Female
,74386.0,Sales,12.0,4,Female
33.0,93972.0,HR,1.0,1,Female
31.0,119791.0,HR,24.0,1,Male
,71003.0,Engineering,20.0,1,Male
68.0,,Marketing,,5,Female
40.0,130922.0,HR,,3,Male
32.0,,Engineering,24.0,1,Female
,65931.0,Sales,,3,Male
51.0,65710.0,Sales,8.0,3,Male
,64693.0,Engineering,7.0,2,Female
,65740.0,Sales,4.0,4,Male
40.0,107241.0,Sales,6.0,5,Female
39.0,138944.0,Marketing,,3,Female
68.0,123583.0,Sales,20.0,5,Female
42.0,106502.0,HR,15.0,2,Male
39.0,47374.0,Sales,,1,Male
39.0,106674.0,Engineering,23.0,3,Female
66.0,146500.0,Marketing,12.0,4,Male
,,Sales,,2,Female
59.0,,Engineering,12.0,5,Female
23.0,96025.0,HR,16.0,1,Male
32.0,74516.0,Sales,15.0,5,Female
,117796.0,Marketing,29.0,4,Male
54.0,56069.0,Sales,13.0,3,Male
50.0,148333.0,Engineering,11.0,4,Male
25.0,86233.0,Marketing,17.0,5,Female
61.0,114811.0,Sales,21.0,5,Female
61.0,89049.0,HR,15.0,4,Male
22.0,131820.0,Marketing,,4,Male
56.0,148028.0,HR,10.0,4,Female
21.0,69178.0,Engineering,12.0,1,Male
23.0,62821.0,Sales,16.0,5,Male
,81727.0,HR,,2,Female
49.0,90935.0,Engineering,10.0,1,Female
,46999.0,Sales,,1,Female
47.0,92522.0,Engineering,,1,Male
64.0,68712.0,HR,,2,Female
52.0,94551.0,Engineering,29.0,4,Female
57.0,70172.0,Marketing,9.0,5,Female
69.0,63722.0,Sales,21.0,3,Female
33.0,40625.0,Engineering,20.0,3,Female
30.0,97165.0,HR,,5,Female
67.0,106509.0,Sales,21.0,2,Female
59.0,36859.0,Marketing,25.0,3,Male
47.0,71609.0,Sales,24.0,1,Female
36.0,,Marketing,20.0,3,Male
34.0,140986.0,Sales,11.0,5,Male
36.0,131582.0,Engineering,,1,Female
45.0,51839.0,Engineering,,3,Male
43.0,57216.0,HR,21.0,5,Female
54.0,82953.0,Marketing,10.0,2,Male
43.0,114481.0,HR,4.0,5,Female
40.0,,Engineering,5.0,2,Male
26.0,102075.0,Marketing,5.0,1,Female
29.0,,HR,,5,Female
18.0,129161.0,HR,9.0,4,Male
18.0,34886.0,HR,28.0,4,Male
,141249.0,HR,,4,Female
51.0,37485.0,HR,,4,Male
,61455.0,Marketing,22.0,4,Female
65.0,,HR,4.0,2,Male
42.0,46767.0,Marketing,2.0,5,Female
57.0,142701.0,HR,14.0,1,Male
,58453.0,Engineering,3.0,4,Female
18.0,106280.0,Engineering,,4,Male
33.0,132638.0,HR,21.0,1,Female
56.0,,Sales,6.0,1,Male
22.0,81877.0,Engineering,11.0,4,Female
39.0,42226.0,Marketing,21.0,2,Male
46.0,123405.0,HR,,1,Male
,52588.0,Marketing,12.0,5,Female
29.0,108976.0,Sales,5.0,5,Male
43.0,61709.0,HR,9.0,2,Male
33.0,77788.0,Engineering,20.0,3,Female
,118031.0,Marketing,28.0,2,Female
54.0,,Engineering,26.0,4,Female
,74948.0,Engineering,,3,Female
46.0,95133.0,HR,19.0,4,Male
31.0,,Marketing,3.0,5,Male
45.0,96458.0,Sales,9.0,1,Male
22.0,147603.0,Engineering,4.0,4,Female
,57526.0,HR,17.0,5,Male
66.0,,HR,17.0,2,Male
47.0,82198.0,Sales,,4,Female
,144100.0,HR,23.0,5,Male
69.0,129534.0,Engineering,2.0,1,Male
,,HR,9.0,4,Female
29.0,54031.0,Marketing,9.0,5,Male
33.0,105542.0,Marketing,5.0,4,Female
43.0,67701.0,Engineering,15.0,1,Female
43.0,142599.0,Marketing,15.0,4,Male
,,Sales,3.0,4,Male
38.0,,HR,19.0,5,Male
56.0,50324.0,Engineering,28.0,3,Female
53.0,52867.0,Sales,3.0,4,Female
50.0,30203.0,HR,,3,Male
47.0,46544.0,Sales,4.0,2,Male
54.0,45899.0,Engineering,24.0,4,Female
40.0,59063.0,Engineering,13.0,3,Male
27.0,,Sales,,2,Male
22.0,,HR,13.0,5,Female
53.0,135022.0,Marketing,27.0,4,Male
51.0,147269.0,Marketing,11.0,5,Male
,96629.0,Sales,5.0,2,Male
48.0,110764.0,Engineering,1.0,5,Male
27.0,50884.0,HR,9.0,5,Female
36.0,55183.0,HR,17.0,1,Female
49.0,111570.0,Engineering,22.0,2,Female
18.0,101246.0,Marketing,1.0,5,Female
22.0,138036.0,HR,3.0,3,Male
,49259.0,Sales,,2,Male
21.0,65959.0,Marketing,26.0,1,Male
33.0,146525.0,Sales,21.0,4,Male
41.0,63457.0,Marketing,,5,Female
33.0,115679.0,Engineering,23.0,3,Male
,32103.0,Sales,,1,Male
66.0,95901.0,Sales,8.0,2,Female
45.0,142314.0,Engineering,,5,Female
49.0,74535.0,Sales,,1,Female
44.0,46103.0,Marketing,22.0,1,Male
37.0,128046.0,HR,15.0,3,Female
41.0,120012.0,HR,27.0,4,Male
29.0,108278.0,Engineering,9.0,4,Male
67.0,42391.0,Marketing,24.0,4,Female
,,Sales,25.0,2,Female
50.0,58901.0,Sales,10.0,1,Female
,127537.0,HR,20.0,2,Male
68.0,111159.0,Sales,9.0,1,Male
60.0,97914.0,HR,,3,Male
54.0,80357.0,Engineering,23.0,3,Female
29.0,116908.0,Sales,21.0,2,Male
,,Marketing,21.0,2,Male
18.0,68437.0,Sales,1.0,3,Male
50.0,65503.0,HR,2.0,5,Male
57.0,126282.0,Engineering,26.0,4,Female
27.0,123459.0,HR,,4,Male
60.0,105403.0,Sales,14.0,3,Female
61.0,71258.0,HR,8.0,4,Female
46.0,63724.0,HR,6.0,5,Male
30.0,94286.0,Engineering,12.0,5,Male
29.0,104842.0,Marketing,26.0,1,Female
48.0,134927.0,Sales,27.0,2,Male
63.0,44908.0,Engineering,29.0,4,Female
19.0,122617.0,Marketing,15.0,5,Male
,80626.0,HR,14.0,2,Male
,67228.0,Marketing,,2,Female
52.0,53386.0,HR,,1,Male
40.0,76754.0,HR,1.0,2,Female
34.0,140942.0,Engineering,28.0,2,Female
,58302.0,HR,11.0,3,Male
25.0,90815.0,Engineering,28.0,1,Female
,114748.0,Marketing,25.0,1,Male
43.0,93344.0,Marketing,,4,Male
27.0,,HR,19.0,2,Male
43.0,141603.0,Engineering,,4,Female
,,HR,20.0,5,Male
68.0,91114.0,Engineering,,2,Male
58.0,147652.0,Engineering,2.0,5,Female
24.0,100130.0,Engineering,29.0,3,Female
21.0,,Marketing,25.0,2,Female
67.0,109818.0,Engineering,28.0,4,Female
62.0,144589.0,Marketing,,4,Male
28.0,44334.0,Engineering,,2,Male
46.0,124715.0,Marketing,8.0,4,Male
53.0,,Sales,19.0,2,Male
42.0,,Marketing,22.0,1,Female
38.0,131154.0,Marketing,15.0,4,Female
53.0,143237.0,HR,10.0,2,Male
27.0,62933.0,Engineering,22.0,2,Female
54.0,73469.0,Sales,29.0,4,Female
26.0,63687.0,HR,1.0,1,Female
41.0,,Engineering,6.0,4,Female
52.0,82656.0,Sales,,2,Female
66.0,47375.0,Sales,,1,Male
52.0,144019.0,Sales,3.0,5,Male
65.0,,Engineering,11.0,3,Female
53.0,,Sales,3.0,4,Female
35.0,66607.0,Sales,19.0,2,Male
66.0,113178.0,HR,10.0,1,Male
,53993.0,Marketing,27.0,1,Female
,74386.0,Engineering,15.0,5,Female
41.0,76287.0,Marketing,11.0,4,Female
40.0,116724.0,HR,15.0,1,Male
49.0,,Marketing,26.0,5,Female
,123308.0,Sales,,2,Female
,126393.0,Sales,24.0,5,Female
,,Engineering,13.0,4,Female
30.0,128371.0,Engineering,5.0,5,Female
40.0,105324.0,Engineering,4.0,1,Female
,101196.0,HR,,1,Female
52.0,100014.0,Engineering,,3,Female
58.0,38210.0,HR,25.0,5,Male
47.0,40922.0,Sales,17.0,2,Male
,66289.0,Marketing,2.0,4,Male
66.0,63340.0,Sales,24.0,3,Female
,69850.0,Sales,5.0,5,Male
65.0,86984.0,Sales,16.0,2,Male
,133699.0,Engineering,7.0,3,Male
,143711.0,Engineering,1.0,1,Male
,114178.0,Engineering,28.0,4,Male
36.0,41094.0,Marketing,26.0,5,Female
66.0,117959.0,Engineering,12.0,2,Male
53.0,63418.0,HR,21.0,1,Female
,35741.0,Sales,11.0,3,Female
58.0,,Marketing,12.0,4,Male
36.0,,Marketing,,3,Female
29.0,147275.0,Marketing,26.0,3,Male
26.0,98798.0,Marketing,12.0,2,Female
24.0,146026.0,Marketing,12.0,1,Female
,100532.0,HR,,5,Male
,140130.0,Sales,2.0,2,Female
48.0,,Marketing,,4,Female
69.0,,Sales,25.0,3,Female
,60257.0,Engineering,29.0,4,Female
64.0,44211.0,Marketing,4.0,2,Female
33.0,125989.0,Marketing,20.0,2,Female
22.0,35232.0,Sales,23.0,5,Female
,,Marketing,26.0,3,Female
29.0,82691.0,Marketing,16.0,2,Male
42.0,,Marketing,,4,Female
,109768.0,HR,,5,Male
38.0,,HR,2.0,4,Male
53.0,44026.0,Marketing,,3,Female
40.0,83535.0,HR,19.0,5,Female
33.0,,Engineering,,5,Male
56.0,60908.0,Marketing,19.0,5,Male
62.0,82113.0,Engineering,27.0,1,Male
59.0,49610.0,Sales,,5,Female
56.0,76646.0,Engineering,20.0,4,Female
31.0,135141.0,Sales,19.0,4,Female
,93185.0,Marketing,8.0,3,Male
,102567.0,Sales,14.0,2,Female
52.0,,Sales,10.0,2,Female
,121051.0,Engineering,3.0,1,Female
46.0,,Engineering,6.0,5,Female
60.0,66182.0,Engineering,29.0,1,Male
28.0,146136.0,Marketing,15.0,3,Female
35.0,30570.0,Marketing,23.0,3,Female
64.0,127790.0,Engineering,,2,Male
29.0,49288.0,Marketing,18.0,3,Female
,108824.0,Marketing,14.0,5,Male
27.0,,Sales,19.0,4,Male
61.0,114425.0,Sales,28.0,3,Female
,30917.0,Engineering,,1,Male
,,Marketing,,5,Female
,125040.0,Sales,15.0,3,Male
,94575.0,HR,4.0,3,Male
30.0,102518.0,Marketing,23.0,5,Female
57.0,69104.0,HR,2.0,3,Male
59.0,48062.0,Engineering,3.0,4,Female
,46999.0,Marketing,7.0,2,Female
,91845.0,Engineering,,5,Female
44.0,39941.0,Engineering,16.0,1,Female
